,word,stem
0,urlLink,urllink
1,Now,now
2,put,put
3,book,book
4,back,back
5,away,away
6,slowly,slowli
7,citizen,citizen
8,Without,without
9,right,right
10,receive,receiv
11,information,inform
12,ideas,idea
13,protection,protect
14,speech,speech
15,United,unit
16,States,state
17,Colorado,colorado
18,Constitutions,constitut
19,would,would
20,meaningless,meaningless
21,It,It
22,makes,make
23,difference,differ
24,one,one
25,voice,voic
26,whatever,whatev
27,view,view
28,wishes,wish
29,express,express
30,others,other
31,free,free
32,listen,listen
33,thoughts,thought
34,The,the
35,converse,convers
36,also,also
37,holds,hold
38,true,true
39,Everyone,everyon
40,must,must
41,permitted,permit
42,discover,discov
43,consider,consid
44,full,full
45,range,rang
46,expression,express
47,available,avail
48,marketplace,marketplac
